Фирма,Область,Код области,Товар,Код товара,ЕИ,Производитель,Количество,Поставщик
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,173.0033,УП,"Астра Зенека  АБ, Швеція",17,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) Смотка 1+1 **,5371011.0,УП,"Астра Зенека  АБ, Швеція",3,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,173.0034,УП,"Астра Зенека  АБ, Швеція",30,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,173.0031,УП,"Астра Зенека  АБ, Швеція",97,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,5371001.0,УП,"Астра Зенека  АБ, Швеція",13,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,173.0038,УП,"Астра Зенека  АБ, Швеція",15,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Фазлодекс р-н д / ін 250мг / 5мл предв.заполн.шпріц 5мл N2 з 2-ма стер.ігламі*,173.0092,УП,"Астра Зенека ЮК Лімітед, Велика Британія",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ДОНЕЦКАЯ,197,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,5581002.0,УП,"Астра Зенека ЮК Лімітед, Велика Британія",88,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,173.0021,УП,"Астра Зенека  АБ, Швеція",20,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,173.0024,УП,"Астра Зенека  АБ, Швеція",97,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,173.002,УП,"Астра Зенека  АБ, Швеція",46,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,173.0022,УП,"Сенексі, Франція",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,5371007.0,УП,"Астра Зенека  АБ, Швеція",3,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,173.0088,УП,"Астра Зенека  АБ, Швеція",228,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер Спец1,5371013.0,УП,"Астра Зенека  АБ, Швеція",30,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,6503002.0,УП,"АстраЗенека АБ, Швеція",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,6503001.0,УП,"АстраЗенека АБ, Швеція",16,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,173.0007,УП,"Корден Фарма С.п.А (""in bulk"" пак.), Італія ( Астра Зенека ЮК Лімітед, Великобританія)",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Крестор табл. в / пл.об. 40мг N28 (7х4),173.0097,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",13,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,173.0087,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",23,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,173.0026,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",69,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Крестор табл.в / пл.об.10мг N28 (14х2),173.0025,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",58,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,5543002.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",118,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,5543003.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",47,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,173.0054,УП,"Астра Зенека ЮК Лімітед, Велика Британія",3,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,173.0046,УП,"Астра Зенека  АБ, Швеція",8,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,173.0045,УП,"Астра Зенека  АБ, Швеція",18,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,173.0033,УП,"Астра Зенека  АБ, Швеція",123,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) Смотка 1+1 **,5371011.0,УП,"Астра Зенека  АБ, Швеція",49,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,173.0034,УП,"Астра Зенека  АБ, Швеція",129,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,173.0031,УП,"Астра Зенека  АБ, Швеція",166,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,5371001.0,УП,"Астра Зенека  АБ, Швеція",30,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,173.0038,УП,"Астра Зенека  АБ, Швеція",36,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЖИТОМИРСКАЯ,198,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,5581002.0,УП,"Астра Зенека ЮК Лімітед, Велика Британія",420,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,173.0011,УП,"Астра Зенека Фармасьютикалс ЛП,США/Астра Зенека ЮК Лiмiтед, Великобританiя",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,173.0021,УП,"Астра Зенека  АБ, Швеція",10,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,173.0024,УП,"Астра Зенека  АБ, Швеція",33,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,173.002,УП,"Астра Зенека  АБ, Швеція",81,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,173.0022,УП,"Сенексі, Франція",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,5371007.0,УП,"Астра Зенека  АБ, Швеція",14,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,173.0088,УП,"Астра Зенека  АБ, Швеція",196,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,6503002.0,УП,"АстраЗенека АБ, Швеція",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,6503001.0,УП,"АстраЗенека АБ, Швеція",69,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,173.0001,УП,"Астра Зенека ЮК Лімітед, Великобританія",10,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,173.0007,УП,"Корден Фарма С.п.А (""in bulk"" пак.), Італія ( Астра Зенека ЮК Лімітед, Великобританія)",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),5543005.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",9,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Крестор табл. в / пл.об. 40мг N28 (7х4),173.0097,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",10,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,173.0087,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",48,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,173.0026,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",56,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Крестор табл.в / пл.об.10мг N28 (14х2),173.0025,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",73,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,5543002.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",338,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,5543003.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",42,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,173.0054,УП,"Астра Зенека ЮК Лімітед, Велика Британія",28,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,173.0046,УП,"Астра Зенека  АБ, Швеція",7,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,173.0045,УП,"Астра Зенека  АБ, Швеція",11,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,173.0033,УП,"Астра Зенека  АБ, Швеція",162,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) Смотка 1+1 **,5371011.0,УП,"Астра Зенека  АБ, Швеція",11,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,173.0034,УП,"Астра Зенека  АБ, Швеція",188,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,173.0031,УП,"Астра Зенека  АБ, Швеція",333,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,5371001.0,УП,"Астра Зенека  АБ, Швеція",20,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,173.0038,УП,"Астра Зенека  АБ, Швеція",24,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАКАРПАТСКАЯ,199,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,5581002.0,УП,"Астра Зенека ЮК Лімітед, Велика Британія",1116,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,173.0011,УП,"Астра Зенека Фармасьютикалс ЛП,США/Астра Зенека ЮК Лiмiтед, Великобританiя",3,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,173.0021,УП,"Астра Зенека  АБ, Швеція",23,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,173.0024,УП,"Астра Зенека  АБ, Швеція",13,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,173.002,УП,"Астра Зенека  АБ, Швеція",43,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,173.0022,УП,"Сенексі, Франція",3,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,5371007.0,УП,"Астра Зенека  АБ, Швеція",5,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,173.0088,УП,"Астра Зенека  АБ, Швеція",93,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,6503001.0,УП,"АстраЗенека АБ, Швеція",42,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,173.0001,УП,"Астра Зенека ЮК Лімітед, Великобританія",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Крестор табл. в / пл.об. 40мг N28 (7х4),173.0097,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",15,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,173.0087,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",47,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,173.0026,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",56,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Крестор табл.в / пл.об.10мг N28 (14х2),173.0025,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",41,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,5543002.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",13,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,5543003.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",21,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Лінпарза табл.вк/пл.об.150мг \№56(7х8) блістер,4727002.0,УП,"Астра Зенека ЮК Лімітед, Велика Британія",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Лінпарза табл.вк/пл.об.150мг №56(7х8) блістер Акція,4727004.0,УП,"Астра Зенека ЮК Лімітед, Велика Британія",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,173.0054,УП,"Астра Зенека ЮК Лімітед, Велика Британія",3,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,173.0046,УП,"Астра Зенека  АБ, Швеція",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,173.0033,УП,"Астра Зенека  АБ, Швеція",70,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) Смотка 1+1 **,5371011.0,УП,"Астра Зенека  АБ, Швеція",3,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,173.0034,УП,"Астра Зенека  АБ, Швеція",122,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,173.0053,УП,"Астра Зенека ЮК Лімітед, Великобританія",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Сероквель XR табл.прол.дії50мг N60 (10х6) блістер,173.005,УП,"Астра Зенека ЮК Лімітед, Великобританія",10,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,173.0031,УП,"Астра Зенека  АБ, Швеція",3563,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,5371001.0,УП,"Астра Зенека  АБ, Швеція",8,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,173.0038,УП,"Астра Зенека  АБ, Швеція",16,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Тагріссо табл. в / пл.об. 80мг №30 (10х3) блістер,5371008.0,УП,"Астра Зенека  АБ, Швеція",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Тагріссо табл. п / в / пл.об.б. 80мг №30 (10х3) блістер Акція,5371010.0,УП,"Астра Зенека  АБ, Швеція",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ЗАПОРОЖСКАЯ,200,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,5581002.0,УП,"Астра Зенека ЮК Лімітед, Велика Британія",309,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ИВАНО-ФРАНКОВСКАЯ,201,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,173.0011,УП,"Астра Зенека Фармасьютикалс ЛП,США/Астра Зенека ЮК Лiмiтед, Великобританiя",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ИВАНО-ФРАНКОВСКАЯ,201,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,173.0021,УП,"Астра Зенека  АБ, Швеція",21,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ИВАНО-ФРАНКОВСКАЯ,201,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,173.0024,УП,"Астра Зенека  АБ, Швеція",384,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ИВАНО-ФРАНКОВСКАЯ,201,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,173.002,УП,"Астра Зенека  АБ, Швеція",157,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ИВАНО-ФРАНКОВСКАЯ,201,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,173.0022,УП,"Сенексі, Франція",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ИВАНО-ФРАНКОВСКАЯ,201,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,173.0088,УП,"Астра Зенека  АБ, Швеція",191,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ИВАНО-ФРАНКОВСКАЯ,201,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,6503001.0,УП,"АстраЗенека АБ, Швеція",32,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ИВАНО-ФРАНКОВСКАЯ,201,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,173.0029,УП,"Астра Зенека ЮК Лімітед, Великобританія",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ИВАНО-ФРАНКОВСКАЯ,201,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,173.0007,УП,"Корден Фарма С.п.А (""in bulk"" пак.), Італія ( Астра Зенека ЮК Лімітед, Великобританія)",6,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ИВАНО-ФРАНКОВСКАЯ,201,Касодекс® табл. в / пл.об.150мг N28 *,173.0028,УП,"Корден Фарма С.п.А (""in bulk"" пак.), Італія ( Астра Зенека ЮК Лімітед, Великобританія)",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ИВАНО-ФРАНКОВСКАЯ,201,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),5543005.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",1,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ИВАНО-ФРАНКОВСКАЯ,201,Крестор табл. в / пл.об. 40мг N28 (7х4),173.0097,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",15,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ИВАНО-ФРАНКОВСКАЯ,201,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,173.0087,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",50,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ИВАНО-ФРАНКОВСКАЯ,201,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,173.0026,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",150,АСТРАЗЕНЕКА АБ (632)
