Назва продукту,"Всього, уп",Адреса клієнта-одержувача,Область України
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Хмельницький, вул. Хотовицького, 7",Хмельницька
Беталок Зок таб. в/о 25мг №14,3,"м. Бар, вул. Героїв Майдану, 32",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КА-54 м. Ямпіль, вул. Свободи, 81/49-А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КА-54 м. Ямпіль, вул. Свободи, 81/49-А",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,1,"КА-54 м. Ямпіль, вул. Свободи, 81/49-А",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"КА-54 м. Ямпіль, вул. Свободи, 81/49-А",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-5 Вінницька обл., м.Гайсин, Соборна 34-К",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"КА-68 смт Оратів, вул. Героїв Майдану, 105А",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"КФ А-36 м. Липовець, вул. Василя Липківського, 32",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,2,"КФ А-58 м. Іллінці, вул. Європейська, 12",Вінницька
Крестор таб. в/о 10мг №28 (14х2) бліст.,2,"КФ А-58 м. Іллінці, вул. Європейська, 12",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"КФ А-58 м. Іллінці, вул. Європейська, 12",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Погребище, вул.П.Тичини, 56-А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КА-86 смт Літин, вул. Соборна, 26",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"КФ А-98 м. Хмільник, проспект Свободи, 4",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Ф-1 м.Вінниця, пр-т Юності, 71",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-1 м.Вінниця, пр-т Юності, 71",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"Ф-51 м. Вінниця, вул. 600-річчя, 32а",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,2,"Ф-103 м. Вінниця, вул. Хмельницьке шосе, 96-А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-6 м.Вінниця, вул.Воїнів-Інтернаціоналістів, 2 Г",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"Ф-140 смт Стрижавка, вул.Київська, 224, к.4, прим.53Н",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,2,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
Сероквель XR 200мг таб.п/о №60,1,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Ф-128, м. Вінниця, вул. Павла Алепського, 1-А",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-17 м. Вінниця, вул. Нечая Д., 164-А",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Ф-26 м. Вінниця, вул. Зодчих, 16",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-26 м. Вінниця, вул. Зодчих, 16",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Ф-105 м. Вінниця, вул. Пирогова, 46а",Вінницька
Комбогліза XR таб. в/о 5мг/1000мг №28 (7х4)бліст,1,"Ф-102 м. Вінниця, вул. Пирогова, 112-А",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"Ф-17 м. Вінниця, вул. Нечая Д., 164-А",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,2,"м. Вінниця, вул. Мічуріна, 32",Вінницька
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,1,"Ф-101 м. Вінниця, вул. Соборна, 84",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,1,"Ф-23 м. Вінниця, вул. Ватутіна, 35",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,1,"Ф-8 м.Вінниця, вул.Замостянська, 1",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,1,"м. Вінниця, пр-т Коцюбинського, 9, прим.58 ",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Ф-2 м.Вінниця, вул.Героїв Сталінграда, 1",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"Ф-3 м.Вінниця, вул. Київська, 49",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"128 Кривий Ріг, вул.Сергія Колачевського 96",Дніпропетровська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"50 Запоріжжя, вул.Європейська 16",Запоріжська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",3,"69027, м.Запоріжжя, вул.Барикадная, 35-склад,",Запоріжська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"А-15 Чернівецька обл., смт Лужани, вул. Центральна, 61 ",Чернівецька
Крестор таб. в/о 40мг №28 (7х4) бліст.,7,"Закарпатська область, м. Хуст, вул. Небесної Сотні, 122-124/28",Закарпатська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"вул,Генерала Петрова,80. м.Одеса",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-11 м.Гайворон, вул.Василя Стуса, 29-А",Кіровоградська
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"А-10 Львіська обл., Яворівський р-н.. м. Мостиська, пл. Ринок, 13",Львівська
Беталок Зок таб. в/о 25мг №14,1,"А-14 м.Львів, вул.І.Франка, 87  8a12e4da-1a6d-11ea-97d4-0cc47aff6138",Львівська
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"А-25  м. Львів, вул. Некрасова, 11а  e0bf51f2-2d6b-11ea-97d7-0cc47aff6138",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"А-21 м.Львів пр.Червоної Калини, 36(Шувар)  44fc1663-2239-11ea-97d5-0cc47aff6138",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"№38 м.Львів, вул. Шевченка Т., будинок 45/47 04804a00-6e60-11e4-9881-0050568d9faf",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"№09 м.Львів, вул.Мучна, 2 7a941b59-8555-11e1-8b38-00155d01cd01",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"№09 м.Львів, вул.Мучна, 2 7a941b59-8555-11e1-8b38-00155d01cd01",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"№000 м.Львів, вул.Галицька,19  65d5f8de-6d60-11e1-8690-9c8e992e54ad",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"№002 м.Львів, вул. Богдана Хмельницького, 214, ТРЦ ""ВАМ"" e9f42111-bb38-11e8-810a-0cc47a140b3b",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,2,"Львівська обл., Львівський р-н с.Сокільники, вул.Стрийська, 20 аптека ",Львівська
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,1,"Львівська обл., Львівський р-н с.Сокільники, вул.Стрийська, 20 аптека ",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"81130, Львівська обл., Пустомитівський р-н, с. Сокільники, вул. Стрийська, 20 склад",Львівська
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"П-9 Львівська обл., Яворівський р-н.. м. Новояворівськ, вул. Шевченка,18, КНП""Новояворівстка лікарня ім. Ю. Липи""НМР,поліклінічне відділення,1-й пов",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,2,"м.Київ, пр-т В.Порика, 3  Аптека №3",
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"м.Київ пр-т Маяковського,26  Аптека № 7",
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,2,"м.Київ, вул.Івашкевича Ярослава, №6-8 А, Аптека №5 Калина	",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,5,"м.Київ, вул.Івашкевича Ярослава, №6-8 А, Аптека №5 Калина	",
Сероквель XR 200мг таб.п/о №60,1,"м.Київ, вул.Єреванська, 7, Аптека №1",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"вул.Чавдар, 1, м.Київ, Аптека №2",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м.Прилуки, вул.18-го вересня,30/1, Аптека№2",Чернігівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КА-134 смт Рокитне, вул.Руслана Дубовця, 1",Рівненська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-126 Житомирська обл., Олевський р-н, с.Жубровичі, вул.Шевченка, 9А",Житомирська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Сарни, вул.Белгородська, 31",Рівненська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"КФ А-72 Житомирська обл., Баранівський р-н, смт Мар'янівка, вул.Романівська, 10",Житомирська
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"08133 м.Вишневе, вул. Балукова,21 Київська обл.Києво-Святош. р-н",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Київська обл., Бучанський р-н., с. Софіївська Борщагівка, вул. Соборна, 126/15, прим. 1002/4",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"А-16 м.Хмельницький, вул П.Мирного,37/2 7ae0cb76-1a6c-11ea-97d4-0cc47aff6138  ",Хмельницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Аптека №14  м.Хмельницький, вул.Проскурівського підпілля, буд.16 ",Хмельницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КА-69 м. Бершадь, вул. Героїв України, 7, прим.22",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,2,"м. Ладижин, вул. Петра Кравчика, 9",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Ладижин, вул. Петра Кравчика, 9",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КФ А-7 м.Тульчин, вул.Леонтовича, 108",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",3,"м. Ладижин, вул. Петра Кравчика, 9",Вінницька
Пульмікорт турбухалер пор. д/інг.100мкг 200доз,1,"м. Ладижин, вул. Петра Кравчика, 9",Вінницька
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,1,"м. Ладижин, вул. Петра Кравчика, 9",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-90 м.Тульчин, вул.Леонтовича, 33, прим.3",Вінницька
Беталок Зок таб. в/о 50мг №30,1,"смт Піщанка, вул. Центральна, 42",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,2,"смт Піщанка, вул. Центральна, 42",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"смт Томашпіль, вул. Кирила Стеценка, 5",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-51 м. Вінниця, вул. 600-річчя, 32а",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Ф-140 смт Стрижавка, вул.Київська, 224, к.4, прим.53Н",Вінницька
Беталок Зок таб. в/о 50мг №30,1,"Ф-51 м. Вінниця, вул. 600-річчя, 32а",Вінницька
Ксігдуо Пролонг таб. в/о 5мг/1000мг №28(4х7)бліст.,1,"Ф-128, м. Вінниця, вул. Павла Алепського, 1-А",Вінницька
Беталок Зок таб. в/о 25мг №14,1,"Ф-148 м. Вінниця, вул. Стрілецька, 7-Ж",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-41 м. Вінниця, вул. Чехова, 8А",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,3,"Ф-106 м. Вінниця, пр-т. Коцюбинського,35",Вінницька
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"Ф-124 м. Вінниця, Олега Антонова, 13-В, корп.2, прим.99",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м.Тернопіль,вул.Руська 36",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Київська обл., Бориспільський р-н, с.Кучаків, вул.Пащенкових, 49, Аптека №40",Київська
Крестор таб. в/о 20мг №28 (14х2) бліст.,2,"м.Київ, пр-т Палладіна, 18/30  Аптека №4",
Крестор таб. в/о 20мг №28 (14х2) бліст.,3,"м.Київ вул.Татарська,38  Аптека № 26",
Крестор таб. в/о 20мг №28 (14х2) бліст.,2,"м.Київ вул.Татарська,38  Аптека № 26",
Крестор таб. в/о 20мг №28 (14х2) бліст.,6,"м.Київ, вул.Маршала Тимошенко, 21, корп.14, прим.№6",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"вул.Армійська, 4-к, смт Володарка, Київська обл. Аптека №3",Київська
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"вул.Цимбала Сергія, 63, прим.2, смт Ставище, Київська обл.Аптека №2",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Тернопільська обл., м. Теребовля, вул. 22 січня, 17 е",Тернопільська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"КА-115 м. Умань, вул.Гайдамацька, 14",Черкаська
Крестор таб. в/о 5мг №28 (14х2) бліст.,1,"КА-141 м.Монастирище, вул.Соборна, 111",Черкаська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"КА-153 м.Біла Церква, б.Олександрійський, 175, прим.2",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-74 Житомирська обл., Хорошівський р-н, смт Нова Борова, вул.Привокзальна, 14",Житомирська
Беталок Зок таб. в/о 50мг №30,1,"КФ А-96 Житомирська обл., смт Черняхів, вул.Володимирська, 3",Житомирська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Житомирська обл., м. Андрушівка, вул. Хмельницького Богдана, 30-А",Житомирська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-104 м.Житомир, вул.Лесі Українки, 48",Житомирська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"КФ А-10 м.Житомир, вул.Домбровського, 44-А",Житомирська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"Житомирська обл., м. Андрушівка, вул. Хмельницького Богдана, 30-А",Житомирська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"КФ А-2 м.Радомишль, вул.Соборний майдан, 10",Житомирська
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",3,"КА-67 м. Жмеринка, вул. Б.Хмельницького, 4",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КА-67 м. Жмеринка, вул. Б.Хмельницького, 4",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"КА-54 м. Ямпіль, вул. Свободи, 81/49-А",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-147 Житомирська обл., Бердичівський р-н, с.Ружин, вул.О.Бурди, 51",Житомирська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-1 Житомирська обл., смт Ружин, Бурди, 49",Житомирська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Козятин, вул. П.Орлика, 22",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"КА-73 смт Турбів, вул. Маяковського, 2",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"м. Козятин, вул. П.Орлика, 22",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Бердичів, вул. Житомирська, 115",Житомирська
Беталок Зок таб. в/о 25мг №14,1,"Ф-51 м. Вінниця, вул. 600-річчя, 32а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-40 м. Вінниця, вул. Хмельницьке шосе, 23",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,6,"Ф-103 м. Вінниця, вул. Хмельницьке шосе, 96-А",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"Ф-140 смт Стрижавка, вул.Київська, 224, к.4, прим.53Н",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
Ксігдуо Пролонг таб. в/о 5мг/1000мг №28(4х7)бліст.,1,"Ф-101 м. Вінниця, вул. Соборна, 84",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,1,"Ф-26 м. Вінниця, вул. Зодчих, 16",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Ф-108 м. Вінниця, вул. Келецкая, 105",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,2,"Ф-105 м. Вінниця, вул. Пирогова, 46а",Вінницька
Крестор таб. в/о 10мг №28 (14х2) бліст.,2,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Вінниця, вул. Хмельницьке шосе,108",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,2,"м. Вінниця, вул. Келецька, 66",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,2,"м. Вінниця, вул. Келецька, 66",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,5,"м. Вінниця, вул. Келецька, 66",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",2,"Ф-140 смт Стрижавка, вул.Київська, 224, к.4, прим.53Н",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,2,"Ф-40 м. Вінниця, вул. Хмельницьке шосе, 23",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",2,"Ф-40 м. Вінниця, вул. Хмельницьке шосе, 23",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"смт Піщанка, вул. Центральна, 42",Вінницька
Комбогліза XR таб. в/о 5мг/1000мг №28 (7х4)бліст,1,"смт Піщанка, вул. Центральна, 42",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-34 м. Вінниця, вул. Ю.Смірнова 23, / 1-й пр.Український, 6",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"м. Вінниця, вул. Коріатовичів, 209-А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-128, м. Вінниця, вул. Павла Алепського, 1-А",Вінницька
Комбогліза XR таб. в/о 5мг/1000мг №28 (7х4)бліст,1,"Ф-102 м. Вінниця, вул. Пирогова, 112-А",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,2,"Ф-101 м. Вінниця, вул. Соборна, 84",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-101 м. Вінниця, вул. Соборна, 84",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КА-133 м.Гайсин, вул.І.Франка, 80",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-92 м. Іллінці, вул. Європейська, 18",Вінницька
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"м. Погребище, вул.Б.Хмельницького, 61б",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Погребище, вул.Б.Хмельницького, 61б",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-36 м. Липовець, вул. Василя Липківського, 32",Вінницька
Беталок Зок таб. в/о 25мг №14,1,"Ф-78. Вінниця, вул. Липовецька, 6А",Вінницька
Золадекс капс. 3.6мг шприц-аплікатор №1,1,"м. Вінниця, пр-т Коцюбинського, 9, прим.58 ",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"Ф-106 м. Вінниця, пр-т. Коцюбинського,35",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,4,"Ф-106 м. Вінниця, пр-т. Коцюбинського,35",Вінницька
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"Ф-106 м. Вінниця, пр-т. Коцюбинського,35",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська обл., м.Кривий Ріг, пр-т Перемоги, 30, прим.76 	Аптека №1",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Одеська обл., смт Великомихайлівка, вул.Центральна, 111, кв.3 Аптека №4",Одеська
Крестор таб. в/о 40мг №28 (7х4) бліст.,2,"ул. Люстдорфская дорога 69-А, г. Одесса",Одеська
Крестор таб. в/о 20мг №28 (14х2) бліст.,3,"м.Одеса, вул. Балковська, 130",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"вул.Піонерська, 76-А, м.Звенигородка, Черкаська обл.",Черкаська
Беталок Зок таб. в/о 50мг №30,2,"Миколаївська обл., смт Доманівка, вул.Пирогова, 6, ЦРЛ, Аптечний пункт №1 (Аптеки №1 Миколаївська обл., смт Доманівка, вул.Центральна, 68б)",Миколаївська
Беталок Зок таб. в/о 100мг №30,1,"м. Тернопіль, вул. Вербицького, М., 2",Тернопільська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
Крестор таб. в/о 20мг №28 (14х2) бліст.,2,"Львівська обл., Львівський р-н с.Сокільники, вул.Стрийська, 20 аптека ",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"А-35 м. Львів, вул. Тернопільська, 21Є",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"А-22 Львівська обл.. смт. Брюховичі, вул. Сухомлинського, 10 ",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"№12 м.Львів, вул.Джорджа Вашингтона, 8 7a941b5b-8555-11e1-8b38-00155d01cd01",Львівська
Беталок Зок таб. в/о 25мг №14,1,"№003 м.Львів, вул.Пекарська, 33  da99fc48-82ff-11e1-9390-9c8e992e54ad",Львівська
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"№001 м.Львів, вул.Личаківська, 187  a9cac215-3f7d-11e1-b0a6-00155d01cd01",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"№21 м.Львів, вул.Городоцька, 181  94907d37-9851-11e1-a08b-9c8e992e54ad",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"А-9 м. Львів, вул. Городоцька, 218  f3447a17-09d0-11ea-97d4-0cc47aff6138",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"А-21 м.Львів пр.Червоної Калини, 36(Шувар)  44fc1663-2239-11ea-97d5-0cc47aff6138",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"А-45 м. Винники, вул. Галицька, 18  82e04f80-579a-11ea-97dc-0cc47aff6138",Львівська
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"№43 м.Львів, вул. Стара, 1  c4102620-8b6f-11e4-95a7-0050568d9faf",Львівська
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,2,"м. Львів, вул. Виговського І., 29А ",Львівська
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"№001 м.Львів, вул.Личаківська, 187  a9cac215-3f7d-11e1-b0a6-00155d01cd01",Львівська
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,1,"вул. Шевченка, 366В, м.Львів",Львівська
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,1,"А-37 Львівська обл. м.Миколаїв вул.Шептицького,15",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"м.Київ пр-т.Бажана,24/1   Аптека №13",
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"м.Київ, пр-т В.Порика, 3  Аптека №3",
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"г.Киев, пр-т Воссоединения (Соборности) 10/1",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"08133 м.Вишневе, вул. Балукова,21 Київська обл.Києво-Святош. р-н",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м.Київ пр-т.Гонгадзе,5  Аптека №16",
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,6,"Київська обл., м.Бровари, вул.Ярослава Мудрого (Кірова), 4, Аптека №6 Калина",Київська
Крестор таб. в/о 20мг №28 (14х2) бліст.,10,"Київська обл., м.Бровари, вул.Ярослава Мудрого (Кірова), 4, Аптека №6 Калина",Київська
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,4,"м.Київ, вул.Маршала Тимошенко, 21, корп.14, прим.№6",
Крестор таб. в/о 20мг №28 (14х2) бліст.,3,"вул.Північна, 6-В, м.Київ. Аптека №1 Калина",
Крестор таб. в/о 20мг №28 (14х2) бліст.,2," м.Київ, вул.Будівельників, 8  Аптека №19",
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"А-41 смт. Щирець, пл. Ринок, 13А  18bcb93c-45b6-11ea-97da-0cc47aff6138",Львівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"смт Баришівка, вул. Київський шлях, 126",Київська
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"Київська обл., Бориспільський р-н, с.Гора, вул.Центральна, 7, Аптека №2",Київська
